OTCamera,section_id,road_user_type,Date,Time,OTAnalytics_0,OTGroundTruth,Differenz,Diff [%]
OTCamera01,10,pedestrian,2023-09-19,17-00-00,31,27,-4,-14.8
OTCamera01,10,pedestrian,2023-09-19,21-00-00,8,7,-1,-14.3
OTCamera01,10,pedestrian,2023-09-20,07-00-00,18,18,0,0.0
OTCamera01,10,pedestrian,2023-09-20,13-00-00,28,26,-2,-7.7
OTCamera01,29,pedestrian,2023-09-27,13-00-00,29,26,-3,-11.5
OTCamera01,29,pedestrian,2023-09-27,17-00-00,20,11,-9,-81.8
OTCamera01,29,pedestrian,2023-09-27,21-00-00,10,6,-4,-66.7
OTCamera01,29,pedestrian,2023-09-28,07-00-00,39,5,-34,-680.0
OTCamera01,30,pedestrian,2023-09-27,13-00-00,28,26,-2,-7.7
OTCamera01,30,pedestrian,2023-09-27,17-00-00,12,11,-1,-9.1
OTCamera01,30,pedestrian,2023-09-27,21-00-00,8,6,-2,-33.3
OTCamera01,30,pedestrian,2023-09-28,07-00-00,7,5,-2,-40.0
OTCamera01,9,pedestrian,2023-09-19,17-00-00,27,26,-1,-3.8
OTCamera01,9,pedestrian,2023-09-19,21-00-00,8,7,-1,-14.3
OTCamera01,9,pedestrian,2023-09-20,07-00-00,18,18,0,0.0
OTCamera01,9,pedestrian,2023-09-20,13-00-00,27,26,-1,-3.8
OTCamera02,10,pedestrian,2023-09-20,17-00-00,5,5,0,0.0
OTCamera02,10,pedestrian,2023-09-20,21-00-00,2,2,0,0.0
OTCamera02,10,pedestrian,2023-09-21,07-00-00,5,2,-3,-150.0
OTCamera02,10,pedestrian,2023-09-21,13-00-00,5,5,0,0.0
OTCamera02,33,pedestrian,2023-09-27,13-00-00,22,24,2,8.3
OTCamera02,33,pedestrian,2023-09-27,17-00-00,16,11,-5,-45.5
OTCamera02,33,pedestrian,2023-09-27,21-00-00,1,5,4,80.0
OTCamera02,33,pedestrian,2023-09-28,07-00-00,17,19,2,10.5
OTCamera02,34,pedestrian,2023-09-27,13-00-00,24,24,0,0.0
OTCamera02,34,pedestrian,2023-09-27,17-00-00,18,16,-2,-12.5
OTCamera02,34,pedestrian,2023-09-27,21-00-00,8,5,-3,-60.0
OTCamera02,34,pedestrian,2023-09-28,07-00-00,23,19,-4,-21.1
OTCamera02,9,pedestrian,2023-09-20,17-00-00,6,5,-1,-20.0
OTCamera02,9,pedestrian,2023-09-20,21-00-00,2,2,0,0.0
OTCamera02,9,pedestrian,2023-09-21,07-00-00,5,2,-3,-150.0
OTCamera02,9,pedestrian,2023-09-21,13-00-00,5,5,0,0.0
OTCamera03,10,pedestrian,2023-09-27,13-00-00,12,12,0,0.0
OTCamera03,10,pedestrian,2023-09-27,17-00-00,26,24,-2,-8.3
OTCamera03,10,pedestrian,2023-09-27,21-00-00,5,5,0,0.0
OTCamera03,10,pedestrian,2023-09-28,07-00-00,23,18,-5,-27.8
OTCamera03,7,pedestrian,2023-09-19,17-00-00,102,60,-42,-70.0
OTCamera03,7,pedestrian,2023-09-19,21-00-00,22,21,-1,-4.8
OTCamera03,7,pedestrian,2023-09-20,07-00-00,14,14,0,0.0
OTCamera03,7,pedestrian,2023-09-20,13-00-00,21,20,-1,-5.0
OTCamera03,8,pedestrian,2023-09-19,17-00-00,89,58,-31,-53.4
OTCamera03,8,pedestrian,2023-09-19,21-00-00,21,20,-1,-5.0
OTCamera03,8,pedestrian,2023-09-20,07-00-00,14,14,0,0.0
OTCamera03,8,pedestrian,2023-09-20,13-00-00,19,19,0,0.0
OTCamera03,9,pedestrian,2023-09-27,13-00-00,13,12,-1,-8.3
OTCamera03,9,pedestrian,2023-09-27,17-00-00,31,25,-6,-24.0
OTCamera03,9,pedestrian,2023-09-27,21-00-00,3,5,2,40.0
OTCamera03,9,pedestrian,2023-09-28,07-00-00,27,18,-9,-50.0
OTCamera05,10,pedestrian,2023-09-27,07-00-00,17,17,0,0.0
OTCamera05,10,pedestrian,2023-09-27,13-00-00,32,30,-2,-6.7
OTCamera05,10,pedestrian,2023-09-27,17-00-00,17,19,2,10.5
OTCamera05,111,pedestrian,2023-09-13,13-00-00,4,3,-1,-33.3
OTCamera05,111,pedestrian,2023-09-13,17-00-00,3,3,0,0.0
OTCamera05,111,pedestrian,2023-09-13,21-00-00,1,1,0,0.0
OTCamera05,111,pedestrian,2023-09-14,07-00-00,3,3,0,0.0
OTCamera05,112,pedestrian,2023-09-13,13-00-00,5,4,-1,-25.0
OTCamera05,112,pedestrian,2023-09-13,17-00-00,13,8,-5,-62.5
OTCamera05,112,pedestrian,2023-09-14,07-00-00,4,3,-1,-33.3
OTCamera05,9,pedestrian,2023-09-27,07-00-00,19,17,-2,-11.8
OTCamera05,9,pedestrian,2023-09-27,13-00-00,31,30,-1,-3.3
OTCamera05,9,pedestrian,2023-09-27,17-00-00,17,19,2,10.5
OTCamera06,100,pedestrian,2023-09-13,13-00-00,22,24,2,8.3
OTCamera06,100,pedestrian,2023-09-13,17-00-00,57,49,-8,-16.3
OTCamera06,100,pedestrian,2023-09-13,21-00-00,3,3,0,0.0
OTCamera06,100,pedestrian,2023-09-14,07-00-00,5,3,-2,-66.7
OTCamera06,13,pedestrian,2023-09-26,21-00-00,1,1,0,0.0
OTCamera06,13,pedestrian,2023-09-27,07-00-00,1,1,0,0.0
OTCamera06,13,pedestrian,2023-09-27,17-00-00,3,3,0,0.0
OTCamera06,14,pedestrian,2023-09-26,21-00-00,2,1,-1,-100.0
OTCamera06,14,pedestrian,2023-09-27,07-00-00,1,1,0,0.0
OTCamera06,14,pedestrian,2023-09-27,17-00-00,7,4,-3,-75.0
OTCamera06,99,pedestrian,2023-09-13,13-00-00,22,23,1,4.3
OTCamera06,99,pedestrian,2023-09-13,17-00-00,53,47,-6,-12.8
OTCamera06,99,pedestrian,2023-09-13,21-00-00,3,3,0,0.0
