road_user_id,road_user_type,hostname,occurrence,frame_number,section_id,event_coordinate,event_type,direction_vector,video_name,OTCamera,Date,Time
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1,car,otcamera29,2023-09-07 17:00:00.000000,1,,"[345.87327575683594, 25.222900390625]",enter-scene,"[0.01068115234375, -0.04514312744140625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#10,pedestrian,otcamera29,2023-09-07 17:00:01.899772,39,,"[479.942626953125, 526.536376953125]",enter-scene,"[-31.47149658203125, -10.444091796875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#100,bicyclist,otcamera29,2023-09-07 17:00:46.594408,933,,"[293.13829040527344, 0.0]",enter-scene,"[-1.008056640625, 0.0]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1001,pedestrian,otcamera29,2023-09-07 17:09:05.184570,10906,,"[174.45559692382812, 11.946626663208008]",enter-scene,"[-1.1286468505859375, 0.027746200561523438]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1003,pedestrian,otcamera29,2023-09-07 17:09:07.184330,10946,,"[157.5412139892578, 8.357963562011719]",enter-scene,"[-0.8223800659179688, 6.338022232055664]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1005,bus,otcamera29,2023-09-07 17:09:09.634036,10995,,"[705.6647338867188, 205.3115234375]",enter-scene,"[-35.06756591796875, -65.18670654296875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1006,motorcyclist,otcamera29,2023-09-07 17:09:10.233964,11007,,"[245.40780639648438, 96.79651641845703]",enter-scene,"[0.06505584716796875, 0.172607421875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#101,pedestrian,otcamera29,2023-09-07 17:00:47.694276,955,,"[273.3197784423828, 0.10721015930175781]",enter-scene,"[-1.01220703125, -0.016094207763671875]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1012,truck,otcamera29,2023-09-07 17:09:11.833772,11039,,"[529.9266357421875, 0.0]",enter-scene,"[-14.103424072265625, 0.0]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1013,bus,otcamera29,2023-09-07 17:09:12.033748,11043,,"[251.9183349609375, 0.072357177734375]",enter-scene,"[-2.8364715576171875, -0.072357177734375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1014,pedestrian,otcamera29,2023-09-07 17:09:12.633676,11055,,"[166.05294799804688, 9.010417938232422]",enter-scene,"[2.762481689453125, -0.5892562866210938]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
